PERMNO,date,PAYDT,DIVAMT,PRC
11308,19850131,,,60.00000
11308,19850228,,,63.50000
11308,19850329,19850401,0.74000,70.00000
11308,19850430,,,68.50000
11308,19850531,,,67.87500
11308,19850628,19850701,0.74000,69.37500
11308,19850731,,,72.25000
11308,19850830,,,71.62500
11308,19850930,19851001,0.74000,69.75000
11308,19851031,,,71.62500
11308,19851129,19851216,0.74000,83.25000
11308,19851231,,,84.50000
11308,19860131,,,83.87500
11308,19860228,,,96.25000
11308,19860331,19860401,0.78000,105.25000
11308,19860430,,,111.50000
11308,19860530,,,116.00000
11308,19860630,19860701,0.78000,125.50000
11308,19860731,19860630,0.00000,39.12500
11308,19860829,,,37.87500
11308,19860930,19861001,0.26000,33.87500
11308,19861031,,,36.62500
11308,19861128,19861215,0.26000,36.50000
11308,19861231,,,37.75000
11308,19870130,,,42.62500
11308,19870227,,,44.87500
11308,19870331,19870401,0.28000,45.75000
11308,19870430,,,42.62500
11308,19870529,,,42.87500
11308,19870630,19870701,0.28000,44.50000
11308,19870731,,,47.62500
11308,19870831,,,50.62500
11308,19870930,19871001,0.28000,48.37500
11308,19871030,,,41.25000
11308,19871130,19871215,0.28000,37.00000
11308,19871231,,,38.12500
11308,19880129,19880115,0.72450,37.62500
11308,19880229,,,37.37500
11308,19880331,19880401,0.30000,38.25000
11308,19880429,,,38.25000
11308,19880531,,,38.00000
11308,19880630,19880701,0.30000,39.00000
11308,19880729,,,38.37500
11308,19880831,,,40.00000
11308,19880930,19881001,0.30000,43.75000
11308,19881031,,,43.12500
11308,19881130,19881215,0.30000,43.37500
11308,19881230,,,44.62500
11308,19890131,,,46.75000
11308,19890228,,,47.75000
11308,19890331,19890401,0.34000,51.25000
11308,19890428,,,54.25000
11308,19890531,,,57.75000
11308,19890630,19890701,0.34000,56.37500
11308,19890731,,,68.00000
11308,19890831,,,66.50000
11308,19890929,19891001,0.34000,67.00000
11308,19891031,,,72.37500
11308,19891130,19891215,0.34000,77.25000
11308,19891229,,,77.25000
11308,19900131,,,68.87500
11308,19900228,,,70.50000
11308,19900330,19900401,0.40000,74.75000
11308,19900430,,,76.25000
11308,19900531,19900511,0.00000,45.12500
11308,19900629,19900701,0.20000,44.37500
11308,19900731,,,45.37500
11308,19900831,,,42.25000
11308,19900928,19901001,0.20000,39.50000
11308,19901031,,,44.87500
11308,19901130,19901215,0.20000,46.25000
11308,19901231,,,46.50000
11308,19910131,,,48.75000
11308,19910228,,,52.37500
11308,19910328,19910401,0.24000,54.25000
11308,19910430,,,52.75000
11308,19910531,,,57.25000
11308,19910628,19910701,0.24000,54.50000
11308,19910731,,,60.12500
11308,19910830,,,65.75000
11308,19910930,19911001,0.24000,64.50000
11308,19911031,,,66.62500
11308,19911129,19911215,0.24000,69.37500
11308,19911231,,,80.25000
11308,19920131,,,77.50000
11308,19920228,,,81.75000
11308,19920331,19920401,0.28000,81.75000
11308,19920430,,,83.00000
11308,19920529,19920511,0.00000,44.00000
11308,19920630,19920701,0.14000,40.00000
11308,19920731,,,41.87500
11308,19920831,,,43.00000
11308,19920930,19921001,0.14000,40.50000
11308,19921030,,,40.62500
11308,19921130,19921215,0.14000,39.75000
11308,19921231,,,41.87500
11308,19930129,,,42.37500
11308,19930226,,,42.37500
11308,19930331,19930401,0.17000,42.62500
11308,19930430,,,39.37500
11308,19930528,,,41.50000
11308,19930630,19930701,0.17000,43.00000
11308,19930730,,,43.25000
11308,19930831,,,43.37500
11308,19930930,19931001,0.17000,42.25000
11308,19931029,,,43.37500
11308,19931130,19931215,0.17000,42.00000
11308,19931231,,,44.62500
11308,19940131,,,40.87500
11308,19940228,,,42.62500
11308,19940331,19940401,0.19500,40.62500
11308,19940429,,,41.75000
11308,19940531,,,40.25000
11308,19940630,19940701,0.19500,40.62500
11308,19940729,,,44.37500
11308,19940831,,,46.00000
11308,19940930,19941001,0.19500,48.62500
11308,19941031,,,50.37500
11308,19941130,19941215,0.19500,51.12500
11308,19941230,,,51.50000
11308,19950131,,,52.50000
11308,19950228,,,55.00000
11308,19950331,19950401,0.22000,56.37500
11308,19950428,,,58.12500
11308,19950531,,,61.62500
11308,19950630,19950701,0.22000,63.75000
11308,19950731,,,65.62500
11308,19950831,,,64.25000
11308,19950929,19951001,0.22000,69.00000
11308,19951031,,,71.87500
11308,19951130,19951215,0.22000,75.75000
11308,19951229,,,74.25000
11308,19960131,,,75.37500
11308,19960229,,,80.75000
11308,19960329,19960401,0.25000,82.75000
11308,19960430,,,81.50000
11308,19960531,19960510,0.00000,46.00000
11308,19960628,19960701,0.12500,49.00000
11308,19960731,,,46.87500
11308,19960830,,,50.25000
11308,19960930,19961001,0.12500,50.87500
11308,19961031,,,50.50000
11308,19961129,19961215,0.12500,51.12500
11308,19961231,,,52.62500
11308,19970131,,,57.87500
11308,19970228,,,61.00000
11308,19970331,19970401,0.14000,55.75000
11308,19970430,,,63.62500
11308,19970530,,,68.50000
11308,19970630,19970701,0.14000,68.00000
11308,19970731,,,69.12500
11308,19970829,,,57.31250
11308,19970930,19971001,0.14000,61.00000
11308,19971031,,,56.62500
11308,19971128,19971215,0.14000,62.50000
11308,19971231,,,66.68750
11308,19980130,,,64.75000
11308,19980227,,,68.62500
11308,19980331,19980401,0.15000,77.43750
11308,19980430,,,75.87500
11308,19980529,,,78.37500
11308,19980630,19980701,0.15000,85.50000
11308,19980731,,,80.50000
11308,19980831,,,65.12500
11308,19980930,19981001,0.15000,57.62500
11308,19981030,,,67.56250
11308,19981130,19981215,0.15000,70.06250
11308,19981231,,,67.00000
11308,19990129,,,65.31250
11308,19990226,,,63.87500
11308,19990331,19990401,0.16000,61.37500
11308,19990430,,,68.06250
11308,19990528,,,68.50000
11308,19990630,19990701,0.16000,62.00000
11308,19990730,,,60.56250
11308,19990831,,,59.81250
11308,19990930,19991001,0.16000,48.25000
11308,19991029,,,59.00000
11308,19991130,19991215,0.16000,67.18750
11308,19991231,,,58.25000
11308,20000131,,,57.43750
11308,20000229,,,48.62500
11308,20000331,20000401,0.17000,46.93750
11308,20000428,,,47.25000
11308,20000531,,,53.37500
11308,20000630,20000701,0.17000,57.43750
11308,20000731,,,61.31250
11308,20000831,,,52.62500
11308,20000929,20001001,0.17000,55.12500
11308,20001031,,,60.37500
11308,20001130,20001215,0.17000,62.62500
11308,20001229,,,60.93750
11308,20010131,,,58.00000
11308,20010228,,,53.03000
11308,20010330,20010401,0.18000,45.16000
11308,20010430,,,46.19000
11308,20010531,,,47.40000
11308,20010629,20010701,0.18000,45.00000
11308,20010731,,,44.60000
11308,20010831,,,48.67000
11308,20010928,20011001,0.18000,46.85000
11308,20011031,,,47.88000
11308,20011130,20011215,0.18000,46.96000
11308,20011231,,,47.15000
11308,20020131,,,43.75000
11308,20020228,,,47.39000
11308,20020328,20020401,0.20000,52.26000
11308,20020430,,,55.51000
11308,20020531,,,55.56000
11308,20020628,20020701,0.20000,56.00000
11308,20020731,,,49.94000
11308,20020830,,,51.00000
11308,20020930,20021001,0.20000,47.96000
11308,20021031,,,46.48000
11308,20021129,20021215,0.20000,45.64000
11308,20021231,,,43.84000
11308,20030131,,,40.46000
11308,20030228,,,40.22000
11308,20030331,20030401,0.22000,40.48000
11308,20030430,,,40.40000
11308,20030530,,,45.57000
11308,20030630,20030701,0.22000,46.41000
11308,20030731,,,44.97000
11308,20030829,,,43.52000
11308,20030930,20031001,0.22000,42.96000
11308,20031031,,,46.40000
11308,20031128,20031215,0.22000,46.50000
11308,20031231,,,50.75000
11308,20040130,,,49.24000
11308,20040227,,,49.96000
11308,20040331,20040401,0.25000,50.30000
11308,20040430,,,50.57000
11308,20040528,,,51.35000
11308,20040630,20040701,0.25000,50.48000
11308,20040730,,,43.86000
11308,20040831,,,44.71000
11308,20040930,20041001,0.25000,40.05000
11308,20041029,,,40.66000
11308,20041130,20041215,0.25000,39.31000
11308,20041231,,,41.64000
11308,20050131,,,41.49000
11308,20050228,,,42.80000
11308,20050331,20050401,0.28000,41.67000
11308,20050429,,,43.44000
11308,20050531,,,44.63000
11308,20050630,20050701,0.28000,41.75000
11308,20050729,,,43.76000
11308,20050831,,,44.00000
11308,20050930,20051001,0.28000,43.19000
11308,20051031,,,42.78000
11308,20051130,20051215,0.28000,42.69000
11308,20051230,,,40.31000
11308,20060131,,,41.38000
11308,20060228,,,41.97000
11308,20060331,20060401,0.31000,41.87000
11308,20060428,,,41.96000
11308,20060531,,,44.03000
11308,20060630,20060701,0.31000,43.02000
11308,20060731,,,44.50000
11308,20060831,,,44.81000
11308,20060929,20061001,0.31000,44.68000
11308,20061031,,,46.72000
11308,20061130,20061215,0.31000,46.83000
11308,20061229,,,48.25000
11308,20070131,,,47.88000
11308,20070228,,,46.68000
11308,20070330,20070401,0.34000,48.00000
11308,20070430,,,52.19000
11308,20070531,,,52.99000
11308,20070629,20070701,0.34000,52.31000
11308,20070731,,,52.11000
11308,20070831,,,53.78000
11308,20070928,20071001,0.34000,57.47000
11308,20071031,,,61.76000
11308,20071130,20071215,0.34000,62.10000
11308,20071231,,,61.37000
11308,20080131,,,59.00000
11308,20080229,,,58.46000
11308,20080331,20080401,0.38000,60.87000
11308,20080430,,,58.87000
11308,20080530,,,57.26000
11308,20080630,20080701,0.38000,51.98000
11308,20080731,,,51.50000
11308,20080829,,,52.07000
11308,20080930,20081001,0.38000,52.88000
11308,20081031,,,44.06000
11308,20081128,20081215,0.38000,46.87000
11308,20081231,,,45.27000
11308,20090130,,,42.72000
11308,20090227,,,40.85000
11308,20090331,20090401,0.41000,43.95000
11308,20090430,,,43.05000
11308,20090529,,,49.16000
11308,20090630,20090701,0.41000,47.99000
11308,20090731,,,49.84000
11308,20090831,,,48.77000
11308,20090930,20091001,0.41000,53.70000
11308,20091030,,,53.31000
11308,20091130,20091215,0.41000,57.20000
11308,20091231,,,57.00000
11308,20100129,,,54.25000
11308,20100226,,,52.72000
11308,20100331,20100401,0.44000,55.00000
11308,20100430,,,53.45000
11308,20100528,,,51.40000
11308,20100630,20100701,0.44000,50.12000
11308,20100730,,,55.11000
11308,20100831,,,55.88250
11308,20100930,20101001,0.44000,58.52000
11308,20101029,,,61.32000
11308,20101130,20101215,0.44000,63.17000
11308,20101231,,,65.77000
11308,20110131,,,62.85000
11308,20110228,,,63.92000
11308,20110331,20110401,0.47000,66.34000
11308,20110429,,,67.46000
11308,20110531,,,66.81000
11308,20110630,20110701,0.47000,67.29000
11308,20110729,,,68.01000
11308,20110831,,,70.45000
11308,20110930,20111001,0.47000,67.56000
11308,20111031,,,68.32000
11308,20111130,20111215,0.47000,67.23000
11308,20111230,,,69.97000
11308,20120131,,,67.53000
11308,20120229,,,69.86000
11308,20120330,20120401,0.51000,74.01000
11308,20120430,,,76.32000
11308,20120531,,,74.73000
11308,20120629,20120701,0.51000,78.19000
11308,20120731,,,80.80000
11308,20120831,20120810,0.00000,37.40000
11308,20120928,20121001,0.25500,37.93000
11308,20121031,,,37.18000
11308,20121130,20121217,0.25500,37.92000
11308,20121231,,,36.25000
11308,20130131,,,37.24000
11308,20130228,,,38.72000
11308,20130328,20130401,0.28000,40.44000
11308,20130430,,,42.33000
11308,20130531,,,39.99000
11308,20130628,20130701,0.28000,40.11000
11308,20130731,,,40.08000
11308,20130830,,,38.18000
11308,20130930,20131001,0.28000,37.88000
11308,20131031,,,39.57000
11308,20131129,20131216,0.28000,40.19000
11308,20131231,,,41.31000
11308,20140131,,,37.82000
11308,20140228,,,38.20000
11308,20140331,20140401,0.30500,38.66000
11308,20140430,,,40.79000
11308,20140530,,,40.91000
11308,20140630,20140701,0.30500,42.36000
11308,20140731,,,39.29000
11308,20140829,,,41.72000
11308,20140930,20141001,0.30500,42.66000
11308,20141031,,,41.88000
11308,20141128,20141215,0.30500,44.83000
11308,20141231,,,42.22000
11308,20150130,,,41.17000
11308,20150227,,,43.30000
11308,20150331,20150401,0.33000,40.55000
11308,20150430,,,40.56000
11308,20150529,,,40.96000
11308,20150630,20150701,0.33000,39.23000
11308,20150731,,,41.08000
11308,20150831,,,39.32000
11308,20150930,20151001,0.33000,40.12000
11308,20151030,,,42.35000
11308,20151130,20151215,0.33000,42.62000
11308,20151231,,,42.96000
11308,20160129,,,42.92000
11308,20160229,,,43.13000
11308,20160331,20160401,0.35000,46.39000
11308,20160429,,,44.80000
11308,20160531,,,44.60000
11308,20160630,20160701,0.35000,45.33000
11308,20160729,,,43.63000
11308,20160831,,,43.43000
11308,20160930,20161003,0.35000,42.32000
11308,20161031,,,42.40000
11308,20161130,20161215,0.35000,40.35000
11308,20161230,,,41.46000
